time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,RSI,Histogram,MACD,Signal,OnBalanceVolume
1585353600,6240.75,6298.5,6028,6237.5,NaN,NaN,NaN,3888.9424,NaN,NaN,NaN,NaN,NaN,NaN
1585440000,6233.5,6262.5,5869.5,5876.5,NaN,NaN,NaN,114076.5831,NaN,NaN,NaN,NaN,NaN,-114076.5831
1585526400,5876,6609,5856,6396.5,NaN,NaN,NaN,224231.1718,NaN,NaN,NaN,NaN,NaN,110154.58870000001
1585612800,6397,6523.5,6330.5,6411,NaN,NaN,NaN,170245.7915,NaN,NaN,NaN,NaN,NaN,280400.3802
1585699200,6410,6685.5,6155.5,6646,NaN,NaN,NaN,687230.653,NaN,NaN,NaN,NaN,NaN,967631.0332000001
1585785600,6645.5,7246.5,6564,6798.5,NaN,NaN,NaN,753969.3187,NaN,NaN,NaN,NaN,NaN,1721600.3519000001
1585872000,6798.5,7038.5,6604.5,6736,NaN,NaN,NaN,510952.2889,NaN,NaN,NaN,NaN,NaN,1210648.063
1585958400,6736,7019.5,6622,6857.5,NaN,NaN,NaN,629026.6833,NaN,NaN,NaN,NaN,NaN,1839674.7463000002
1586044800,6857.5,6899.5,6675,6772,NaN,NaN,NaN,278220.7905,NaN,NaN,NaN,NaN,NaN,1561453.9558
1586131200,6772,7362,6764.5,7333.5,NaN,NaN,NaN,744517.77795,NaN,NaN,NaN,NaN,NaN,2305971.73375
1586217600,7334.5,7463.5,7077,7197.5,NaN,NaN,NaN,741082.82025,NaN,NaN,NaN,NaN,NaN,1564888.9135000003
1586304000,7198.5,7425.5,7152.5,7364.5,NaN,NaN,NaN,780410.3791,NaN,NaN,NaN,NaN,NaN,2345299.2926000003
1586390400,7364.5,7371.5,7105.5,7286,NaN,NaN,NaN,333903.9076,NaN,NaN,NaN,NaN,NaN,2011395.3850000002
1586476800,7286,7296,6744.5,6858.5,NaN,NaN,NaN,1808729.24525,NaN,NaN,NaN,NaN,NaN,202666.13975000032
1586563200,6858.5,6939,6764.5,6880.5,NaN,NaN,NaN,86077.95305,NaN,60.916808149405774,NaN,NaN,NaN,288744.09280000033
1586649600,6880.5,7182,6784,6897.5,NaN,NaN,NaN,313463.7392,NaN,61.15826908600057,NaN,NaN,NaN,602207.8320000004
1586736000,6897.5,6897.5,6574.5,6838,NaN,NaN,NaN,293498.7877,NaN,59.7664993043373,NaN,NaN,NaN,308709.0443000004
1586822400,6838,6980.5,6763,6868,NaN,NaN,NaN,103881.1899,NaN,60.25758294432658,NaN,NaN,NaN,412590.2342000004
1586908800,6868,6934.5,6607,6616.5,NaN,NaN,NaN,478641.6966,NaN,54.27648670489858,NaN,NaN,NaN,-66051.46239999961
1586995200,6616.5,7193,6480.5,7105,6798.85,7528.908703119125,6068.791296880876,924416.88645,499023.3303124999,62.1376663890638,NaN,NaN,NaN,858365.4240500004
1587081600,7105,7147.5,6995,7027,6838.325,7526.903483181122,6149.746516818877,572599.89945,527458.8781649999,60.35338046926274,NaN,NaN,NaN,285765.52460000035
1587168000,7027,7297.5,7016,7251,6907.05,7458.671691016597,6355.428308983403,741697.25625,558839.9118224999,63.58710360455453,NaN,NaN,NaN,1027462.7808500003
1587254400,7251,7267,7058,7120.5,6943.25,7449.238784460689,6437.261215539311,692447.6677,582250.7366174998,60.49154843234213,NaN,NaN,NaN,335015.11315000034
1587340800,7120.5,7216,6756.5,6831.5,6964.275,7411.595966980102,6516.954033019897,1899302.10175,668703.5521299999,54.19891916413036,NaN,NaN,NaN,-1564286.9885999996
1587427200,6830,6947.5,6764.5,6842,6974.075,7401.20768137666,6546.94231862334,1183358.1786,693509.9284099998,54.384582112110806,NaN,NaN,NaN,-380928.8099999996
1587513600,6842,7158,6820,7128.5,6990.575,7414.788893572581,6566.361106427418,1256906.0853,718656.7667399998,59.239771105296505,NaN,106.29495616928762,NaN,875977.2753000003
1587600000,7128.5,7762,7030.5,7483.5,7027.95,7486.211050057713,6569.688949942287,5269842.52175,956601.2783824999,64.3089970035847,NaN,140.2397163641508,NaN,6145819.797050001
1587686400,7483.5,7609.5,7398.5,7505,7060.325,7555.820032770274,6564.829967229725,15660447.439,1708172.3161674999,64.59617424254222,NaN,166.95154026195905,NaN,21806267.236050002
1587772800,7505,7705,7440.5,7546,7099.025,7618.711778261701,6579.338221738299,21587543.01719998,2773638.427502499,65.17168547054199,NaN,189.2476810336102,NaN,43393810.25324998
1587859200,7546,7707,7475,7699.5,7117.325,7691.653414324067,6542.996585675933,28602274.15130001,4166526.2461699992,67.31395998295413,NaN,216.80451290845212,NaN,71996084.40454999
1587945600,7699.5,7798.5,7629.5,7778,7146.35,7788.608522714951,6504.09147728505,26319325.80755,5445438.395534999,68.38494301981943,NaN,242.18602491400088,NaN,98315410.21209998
1588032000,7778,7786,7666,7747,7165.475,7853.7127114776395,6477.237288522361,8187911.94200001,5815813.47368,67.44511688835095,NaN,256.83893574553986,NaN,90127498.27009997
1588118400,7747,8954,7718.5,8776.5,7240,8223.682011627747,6256.317988372252,33379160.85899999,7468076.321249999,78.17327133160437,NaN,347.5175532261401,NaN,123506659.12909997
1588204800,8776.5,9454,8411.5,8628,7328.475,8465.365209079135,6191.584790920867,14800168.16105,8117648.267039999,74.36638146581137,172.88486327140404,402.75558625822214,229.8707229868181,108706490.96804997
1588291200,8628,9062.5,8620,8829,7425.9,8716.144767476322,6135.655232523676,6920272.87855,8459358.013315,76.06537943795446,182.08552420980607,457.4776282490757,275.3921040392696,115626763.84659997
1588377600,8829,9014.5,8761,8976,7529.825,8960.297169425186,6099.352830574814,8419361.6841,8864652.91056,77.25283192303888,185.17759551482675,506.8640984328031,321.6865029179763,124046125.53069997
1588464000,8976,9194.5,8725,8897,7632.775,9143.392406062838,6122.1575939371605,24341902.57850001,10067073.1001,75.09655686694705,169.43398047293005,533.4789785091389,364.0449980362088,99704222.95219997
1588550400,8897,8958,8531,8878.5,7733.3,9293.727454257327,6172.872545742673,11676298.3462,10645693.957914999,74.5716373150005,146.18462279875627,546.7757765346541,400.5911537358979,88027924.60599996
1588636800,8878.5,9107.5,8769,9026,7853.775,9422.737442985821,6284.812557014178,9980940.5146,11120808.898815,76.01137400684635,129.71012866835667,562.7288145713437,433.01868590298704,98008865.12059996
1588723200,9024.5,9406,8917.5,9150,7956.025,9581.980087786873,6330.069912213126,14585565.52060001,11803866.330522502,77.18107332494887,116.5502572407919,578.7065074539769,462.156250213185,112594430.64119996
1588809600,9150,10066,9034.5,9986,8103.975,9894.984588891137,6312.965411108864,18072636.86035001,12678868.178567503,83.14737994287289,151.33032434057213,651.3191556389002,499.988831298328,130667067.50154997
1588896000,9986,10035.5,9724,9800,8231.425,10121.538284303371,6341.311715696627,16276754.82005,13455621.0567575,78.24551693263122,148.76842272783938,685.9493597081273,537.1809369802879,114390312.68149997
1588982400,9800,9907,9521,9532,8352,10250.905763854547,6453.094236145453,13655765.956,14103786.9711725,71.68763784665643,117.36347591493154,683.8852818739524,566.5218059590209,100734546.72549997
1589068800,9532,9563,8097.5,8731,8446.975,10217.880488020182,6676.069511979817,30089843.82019999,15513314.057094997,56.457385236662574,35.24425644272833,610.5771265124313,575.332870069703,70644702.90529999
1589155200,8731,9157.5,8190,8576,8533.675,10144.320593387949,6923.02940661205,12211144.4161,16064703.368969997,54.063776925145525,-33.210979416684836,533.8191457988469,567.0301252155317,58433558.489199996
1589241600,8576,8978.5,8521.5,8819,8618.2,10097.044156765669,7139.3558432343325,1935763.23465,16098646.226437498,57.132249704063945,-64.03823374287629,486.9823330369363,551.0205667798126,60369321.72385
