time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,RSI,Histogram,MACD,Signal,OnBalanceVolume
1393632000,6918605496.857274,7223891272.042406,6707817901.677883,7116309846.998582,NaN,NaN,NaN,45664251.742543824,NaN,NaN,NaN,NaN,NaN,NaN
1393718400,7135860816.397054,7180782624.261093,6953284132.145839,7059509219.086889,NaN,NaN,NaN,16624614.311600162,NaN,NaN,NaN,NaN,NaN,-16624614.311600162
1393804800,7110063635.256065,8929190787.802742,7061427281.53154,8515740046.622129,NaN,NaN,NaN,16624614.311600162,NaN,NaN,NaN,NaN,NaN,0
1393891200,8515250008.864466,8824169342.822239,7954029317.964018,8451721884.203189,NaN,NaN,NaN,16624614.311600162,NaN,NaN,NaN,NaN,NaN,-16624614.311600162
1393977600,8459543573.24043,8544210254.099621,8183027117.056901,8410458251.721195,NaN,NaN,NaN,16624614.311600162,NaN,NaN,NaN,NaN,NaN,-33249228.623200323
1394064000,8402125072.066995,8486623468.907103,8163158976.069071,8409507741.599398,NaN,NaN,NaN,16624614.311600162,NaN,NaN,NaN,NaN,NaN,-49873842.93480048
1394150400,8408762671.0776005,8414991074.064378,7700147267.446855,7942931374.805519,NaN,NaN,NaN,16624614.311600162,NaN,NaN,NaN,NaN,NaN,-66498457.24640065
1394236800,7941171016.7567425,8011863973.106376,7585953040.5603485,7782140146.557805,NaN,NaN,NaN,16624614.311600162,NaN,NaN,NaN,NaN,NaN,-83123071.5580008
1394323200,7800493780.80136,8215430519.10596,7709997822.811348,8049575197.748864,NaN,NaN,NaN,22081648.2953623,NaN,NaN,NaN,NaN,NaN,-61041423.2626385
1394409600,8029485858.340444,8133161282.734659,7659475867.727783,7916248423.398826,NaN,NaN,NaN,22081648.2953623,NaN,NaN,NaN,NaN,NaN,-83123071.5580008
1394496000,7898897212.016002,8106098784.251142,7724590641.373022,7950395981.553289,NaN,NaN,NaN,22081648.2953623,NaN,NaN,NaN,NaN,NaN,-61041423.2626385
1394582400,7919914481.456885,8267819901.492904,7883126092.028538,7990717002.92171,NaN,NaN,NaN,22081648.2953623,NaN,NaN,NaN,NaN,NaN,-38959774.9672762
1394668800,7977572524.678501,8174934726.433085,7940392900.036994,8056757070.4667635,NaN,NaN,NaN,22081648.2953623,NaN,NaN,NaN,NaN,NaN,-16878126.6719139
1394755200,8058574228.112923,8117194215.110644,7860813450.622243,7927576277.988754,NaN,NaN,NaN,22081648.2953623,NaN,NaN,NaN,NaN,NaN,-38959774.9672762
