time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,RSI,Histogram,MACD,Signal,OnBalanceVolume
1507075200,4307,4307,4307,4307,NaN,NaN,NaN,126.45196948,NaN,NaN,NaN,NaN,NaN,NaN
1507161600,3500,3500,3500,3500,NaN,NaN,NaN,36.287685,NaN,NaN,NaN,NaN,NaN,-36.287685
1507248000,4860,4860,4860,4860,NaN,NaN,NaN,72.9,NaN,NaN,NaN,NaN,NaN,36.612315
1507334400,3850,4858,3850,4858,NaN,NaN,NaN,62.3164535,NaN,NaN,NaN,NaN,NaN,-25.7041385
1507507200,4500,4850,3900,4850,NaN,NaN,NaN,1292.9478783,NaN,NaN,NaN,NaN,NaN,-1318.6520168
1507766400,4840,4840,3900,3900,NaN,NaN,NaN,1072.570263,NaN,NaN,NaN,NaN,NaN,-2391.2222798000003
1507852800,5730,5730,5730,5730,NaN,NaN,NaN,60.1425957,NaN,NaN,NaN,NaN,NaN,-2331.0796841
1507939200,5729,5729,5729,5729,NaN,NaN,NaN,90.44664479,NaN,NaN,NaN,NaN,NaN,-2421.52632889
1508025600,5730,5730,5730,5730,NaN,NaN,NaN,30.061299,NaN,NaN,NaN,NaN,NaN,-2391.46502989
1508198400,5730,5730,5730,5730,NaN,NaN,NaN,7.9399464,NaN,NaN,NaN,NaN,NaN,-2391.46502989
1508284800,4954.61806451,5533.74436318,3800,3812.00423816,NaN,NaN,NaN,998.88925919,NaN,NaN,NaN,NaN,NaN,-3390.35428908
1508371200,3812.00422456,5693.2105144,3806.38167633,5137.92726916,NaN,NaN,NaN,14700.84210814,NaN,NaN,NaN,NaN,NaN,11310.48781906
1508457600,5137.92726916,5998.20783053,5137.92726916,5698.29743879,NaN,NaN,NaN,19656.68581202,NaN,NaN,NaN,NaN,NaN,30967.17363108
1508544000,5698.29743879,6659.99999998,5691.99999971,5985.00000004,NaN,NaN,NaN,3826.88601303,NaN,NaN,NaN,NaN,NaN,34794.05964411
1508630400,5985.00000005,6659.99999999,5691.99999972,6500,NaN,NaN,NaN,11395.23764489,NaN,61.46367978774891,NaN,NaN,NaN,46189.297288999995
1508716800,6229.65000043,6500,5691.99999971,6149.99999999,NaN,NaN,NaN,16958.34064193,NaN,59.13343654628669,NaN,NaN,NaN,29230.956647069994
1508803200,6149.99999999,6149.99999999,5269.276017,5731.99999998,NaN,NaN,NaN,29775.58323485,NaN,56.384073634869104,NaN,NaN,NaN,-544.626587780007
1508889600,5280,5779.99999999,5170.9931872,5779.99999999,NaN,NaN,NaN,37138.81821885,NaN,56.63342041234508,NaN,NaN,NaN,36594.19163106999
1508976000,5779.99999999,6029.99999999,5450,6010,NaN,NaN,NaN,29886.05562976,NaN,57.87609819139192,NaN,NaN,NaN,66480.24726082999
1509062400,5768,5999,5286.00001,5699.999999,5284.9614472554995,6935.635227559805,3634.2876669511943,52060.72068007,10962.506198895,55.5649753421264,NaN,NaN,NaN,14419.526580759986
1509148800,5774.22,5999,5420.000001,5701,5354.661447255499,6951.103574610715,3758.219319900283,67922.20756596,14352.293978719,55.57113862913474,NaN,NaN,NaN,82341.73414671997
1509235200,5701,6149.999999,5451.000001,6016.016017,5480.462248105499,6853.36000708598,4107.564489125019,66268.49742547,17663.904465742504,57.567777981808526,NaN,NaN,NaN,148610.23157218998
