time,open,high,low,close,Basis,Upper,Lower,Volume,Volume MA,RSI,Histogram,MACD,Signal,OnBalanceVolume
1508947200,5712,5990,5400,5875.91,NaN,NaN,NaN,1501.09607529,NaN,NaN,NaN,NaN,NaN,NaN
1509033600,5876,5948.52,5669.93,5739,NaN,NaN,NaN,523.92765978,NaN,NaN,NaN,NaN,NaN,-523.92765978
1509120000,5743.43,5791.8,5637.63,5658.62,NaN,NaN,NaN,304.41042288,NaN,NaN,NaN,NaN,NaN,-828.33808266
1509206400,5656.46,5977.3,5648.03,5936.95,NaN,NaN,NaN,257.83837284,NaN,NaN,NaN,NaN,NaN,-570.4997098200001
1509292800,5940.77,6215.8,5875,6076.9,NaN,NaN,NaN,272.70156436,NaN,NaN,NaN,NaN,NaN,-297.7981454600001
1509379200,6076.87,6384.91,6051.36,6339.65,NaN,NaN,NaN,228.98694089,NaN,NaN,NaN,NaN,NaN,-68.81120457000011
1509465600,6339.18,6590.72,6285,6562.73,NaN,NaN,NaN,352.01239551,NaN,NaN,NaN,NaN,NaN,283.20119093999983
1509552000,6733.82,7100,6705,7026.15,NaN,NaN,NaN,943.12815569,NaN,NaN,NaN,NaN,NaN,1226.3293466299997
1509638400,7026.15,7322.9,6850.01,7317.56,NaN,NaN,NaN,2211.36757251,NaN,NaN,NaN,NaN,NaN,3437.69691914
1509724800,7316.88,7318.47,6967.41,7305.17,NaN,NaN,NaN,3205.73503961,NaN,NaN,NaN,NaN,NaN,231.9618795299998
1509811200,7305.17,7542.06,7305.17,7516.94,NaN,NaN,NaN,1599.80719986,NaN,NaN,NaN,NaN,NaN,1831.76907939
1509897600,7512.86,7537.89,7150.01,7230.23,NaN,NaN,NaN,1132.16181722,NaN,NaN,NaN,NaN,NaN,699.6072621699998
1509984000,7230.23,7244.98,6969.62,7008.2,NaN,NaN,NaN,1917.30210175,NaN,NaN,NaN,NaN,NaN,-1217.6948395800002
1510070400,7008.26,7486.61,6969.02,7471.72,NaN,NaN,NaN,3192.79914251,NaN,NaN,NaN,NaN,NaN,1975.1043029299997
1510156800,7468.57,7685.32,7062.77,7142.03,NaN,NaN,NaN,5080.74003241,NaN,68.60660604172422,NaN,NaN,NaN,-3105.63572948
1510243200,7142.04,7287.67,6706.53,6813.69,NaN,NaN,NaN,3915.44452195,NaN,62.14774230254542,NaN,NaN,NaN,-7021.080251429999
1510329600,6813.69,6940.78,6040.64,6120.88,NaN,NaN,NaN,5354.3462189,NaN,51.19562527310247,NaN,NaN,NaN,-12375.42647033
1510416000,6120,6500,5205,6142.33,NaN,NaN,NaN,9379.62890184,NaN,51.48071720332454,NaN,NaN,NaN,-2995.7975684899993
1510502400,6140.1,6730.31,5648.99,6644.69,NaN,NaN,NaN,8042.79496136,NaN,57.71122838932968,NaN,NaN,NaN,5046.997392870001
1510588800,6644.84,6651.23,6229.6,6455.92,6619.263499999999,7809.753212215551,5428.773787784447,4243.38638733,2682.9807742245002,54.8604011870295,NaN,NaN,NaN,803.6110055400013
1510675200,6452.51,7286,6425,7265.17,6688.7265,7859.576395405475,5517.876604594525,4669.35385448,2841.393663184,63.24310008979514,NaN,NaN,NaN,5472.964860020002
1510761600,7265.17,7501,7104,7427.72,6773.1625,7900.636632224321,5645.68836777568,5977.94752188,3114.0946562890003,64.66264507508971,NaN,NaN,NaN,11450.912381900001
